"","sentence","length"
"111","You can also access a wide range of psychological and emotional counselling and therapeutic approaches provided in a wide variety of settings, for instance, the National Health Service, voluntary sector agencies and private practice. If you are not ordinarily resident in the United Kingdom, you should note that some health services are exempt from payment, such as primary care services; services for the treatment of a physical or mental condition caused by torture, female genital mutilation, domestic violence, sexual violence or if you are determined a victim of modern slavery or human trafficking. Further details are available at: www.gov.uk/guidance/nhs-entitlements-migrant-health-guide",697
"112","Coroners are not included as service providers under this Code. This is because inquests are not criminal proceedings and bereaved family members already have interested person status in inquests which gives them certain statutory Rights. This includes the Right to ask relevant questions of the witnesses and to receive disclosure of documents and other evidence. Bereaved family members of a victim of crime who are involved in an inquest should instead consult the guidance on coroners’ investigations for bereaved people which is available at: www.gov.uk/government/publications/guide-to-coroner-services-andcoroner-investigations-a-short-guide",648
"113","Who is responsible for meeting the Rights under this Code?",58
"114","The following organisations are required to deliver the Rights under this Code:",79
"115","• Police and Crime Commissioners",32
"116","• All police forces in England and Wales, the British Transport Police and the Ministry of Defence Police",105
"117","• Police Witness Care Units[footnote 13]",40
"118","• The Crown Prosecution Service",31
"119","• Her Majesty’s Courts and Tribunals Service",44
"120","• Her Majesty’s Prison and Probation Service",44
"121","• The National Probation Service",32
"122","• The Parole Board for England and Wales",40
"123","• The Criminal Cases Review Commission",38
"124","• The Criminal Injuries Compensation Authority",46
"125","Under this Code some victims will receive their Rights through a combination of the service providers listed above and other service providers, including:",154
"126","• The Competition and Markets Authority",39
"127","• Department for Business, Energy and Industrial Strategy (Criminal Enforcement)",80
"128","• The Financial Conduct Authority",33
"129","• The Health and Safety Executive",33
"130","• Her Majesty’s Revenue and Customs",35
"131","• Home Office (Immigration Enforcement)",39
"132","• The Information Commissioner’s Office",39
"133","• Independent Office for Police Conduct",39
"134","Other service providers can also have a role in relation to the investigation and/or prosecution of crimes.[footnote 14] However, unlike the police and the Crown Prosecution Service, who have a broad remit to investigate and prosecute crimes, these service providers are limited to investigating and prosecuting specific types of offences committed in certain circumstances. This will determine the way in which, and frequency with which, they come into contact with victims.",475
"135","The Rights in this Code only apply where other service providers (such as those listed above) accept formal responsibility for conducting a criminal investigation or making a decision to prosecute. However, not all functions undertaken by other service providers are identical to those carried out by the police and the Crown Prosecution Service. Where functions are equivalent to a service provider under this Code (for example the other service provider is investigating or prosecuting an alleged offence), they must deliver the same Rights without unjustified delay, regardless of whether the other service provider is listed above.",635
"136","The role of Police and Crime Commissioners",42
"137","Police and Crime Commissioners are locally elected to secure efficient and effective policing. They have a legal duty to consult with victims in setting the policing priorities in their area and to hold the Chief Constable of the police in their area to account. They are responsible for commissioning many of the services that support victims outlined in this Code.",366
"138","The role of the Commissioner for Victims and Witnesses (Victims’ Commissioner)",78
"139","The Victims’ Commissioner is not listed as a service provider under this Code. This is because the Commissioner has a statutory duty to keep this Code under regular review. It is part of the Commissioner’s role to listen to the views of victims, understand the criminal justice system from the victims’ point of view and try to help improve the services and support available. The Victims’ Commissioner cannot help with individual cases or challenge criminal justice agencies to make different decisions.",504
"140","This Code acknowledges that victims who are considered vulnerable or intimidated, are a victim of the most serious crime (including a bereaved close relative) or have been persistently targeted are more likely to require specialised assistance (some victims may fall into one or more of these categories). Such support may include being offered a referral to a specialist support service, being contacted sooner after key decisions and having access to special measures (see Right 4) Within each individual Right this Code highlights where such Enhanced Rights apply.",567
"141","Once a service provider has identified that you are eligible for Enhanced Rights, they must ensure that this information is passed to other service providers with responsibilities under this Code and, where appropriate, to services that support victims.",253
"142","If you do not fall within the categories outlined above, a service provider may decide to provide access to certain Enhanced Rights depending on your circumstances or the impact of the crime.",191
"143","Vulnerable or intimidated victims",33
"144","You are eligible for Enhanced Rights under this Code as a vulnerable[footnote 15] victim if:",92
"145","• you are under 18 years of age at the time of the offence,[footnote 16] or",75
"146","• the quality of your evidence is likely to be affected because you",67
"147","• suffer from mental disorder within the meaning of the Mental Health Act 1983",78
"148","• have a physical disability or are suffering from a physical disorder.",71
"149","You are also eligible for Enhanced Rights under this Code as an intimidated victim if the service provider considers that the quality of your evidence will be affected because of your fear of distress about testifying in court.[footnote 17]",240
"150","When assessing whether a victim is intimidated, the service provider must consider:",83
"151","• the behaviour towards the victim on the part of the suspect, members of their family or associates, or any other person who is likely to be a suspect or witness in the case",174
"152","• if relevant, the victim’s social and cultural background, religious beliefs or political opinions, ethnic origin, domestic and employment circumstances",153
"153","• the nature and alleged circumstance of the offence to which the case relates (victims of a sexual offence or human trafficking will be considered to be intimidated), and",171
"154","• any views expressed by the victim.",36
"155","Victims of the most serious crime",33
"156","You are eligible for Enhanced Rights under this Code as a victim of the most serious crime, if you are a close relative bereaved by a criminal offence, a victim of domestic abuse, hate crime, terrorism, sexual offences, human trafficking, modern slavery, attempted murder, kidnap, false imprisonment, arson with intent to endanger life and wounding or causing grievous bodily harm with intent.",393
"157","Additional Enhanced Rights that are available for bereaved close relatives are highlighted separately within each individual Right of this Code.",144
"158","You are eligible for Enhanced Rights under this Code as a persistently targeted victim if you have been targeted repeatedly as a direct victim of crime over a period of time, particularly if you have been deliberately targeted or if you are a victim of a campaign of harassment or stalking.",290
"159","Right 1: To be able to understand and to be understood",54
"160","1.1 You have the Right to be helped to understand what is happening and to be understood. In considering appropriate measures, service providers must consider any relevant personal characteristics which may affect your ability to understand and to be understood. All service providers must communicate in simple and accessible language and all translation or interpretation services must be offered free of charge to the victim.",428
"161","1.2 If, due to the impact of the crime, you need assistance to understand or to be understood, you can be supported by a person of your choice, unless the service provider considers that it would not be in your best interests or that it would impact the investigation or prosecution. In these circumstances, the service provider will tell you why.",347
"162","1.3 If you have difficulty understanding or speaking English, you have the Right to use an interpreter[footnote 18] to help you understand, when:",145
"163","• reporting a criminal offence[footnote 19]",43
"164","• being interviewed by the police",33
"165","1.4 You can also receive the translation of any document where it is essential for the purposes of the interview or court proceedings to read a document that is given to you, including:",185
"166","• the written acknowledgment of the reported crime",50
"167","• where it is essential for the purposes of the interview or court hearing to see a particular document that is disclosed to you, a copy of the relevant parts of the document",174
"168","• communication informing you of the date, time and location of the trial",73
"169","• the outcome of criminal proceedings and, where available, the reasons for the decision",88
"170","• the response to any complaint or request made under the Victims’ Right to Review Scheme.[footnote 20]",103
"171","1.5 You can also receive an oral translation or summary of any of the documents listed above, unless doing so would prejudice the fairness of the proceedings.",158
"172","1.6 For cases heard in Wales, you have the legal Right to use Welsh when giving evidence and the court will make the necessary arrangements.[footnote 22] You also have the Right to submit a Victim Personal Statement to the Parole Board in Welsh, irrespective of the location of the offender, and to ask for a summary of the parole decision to be provided in Welsh.",364
"173","Right 2: To have the details of the crime recorded without unjustified delay",76
"174","2.1 You have the Right to have details of the crime recorded by the police without unjustified delay after the incident. When you report an incident, you will be asked to provide details about the crime.",203
"175","2.2 If you are asked to make a witness statement, the police will explain to you that this may result in you needing to give evidence at court, if the case goes to trial.",170
"176","2.3 If you are asked to be interviewed, any interview should take place without unjustified delay, the number of interviews should be kept to a minimum and where possible be conducted by the same person. The police must take any steps necessary to ensure that you (and your family) do not have unnecessary contact with the suspect.",331
"177","2.4 The police must consider whether you would benefit from additional support, for example, the assistance of an interpreter, and that any interview is carried out by or through professionals trained for that purpose. They must also seek to ensure that it takes place in premises designed or adapted for the purpose. If this is not possible, the police will tell you why.",372
"178","2.5 You also have the Right to request to bring a person of your choice to the interview. If this is not possible, the police will tell you why.",144
"179","2.6 If the police or the Crown Prosecution Service believe that the quality of your evidence may be adversely affected by a vulnerability, they must consider whether you are eligible for support from a Registered Intermediary (see Right 4) and make any other reasonable adjustments based on your needs.",302
"180","What is a Registered Intermediary?",34
"181","A Registered Intermediary is a self-employed communication specialist who helps vulnerable victims and witnesses with communication difficulties to give evidence to the police and to the court in criminal trials.",212
"182","A victim/witness might need the help of a Registered Intermediary because of their age, a learning disability, a mental disorder or a physical disability that affects their ability to communicate. They are often the difference between a witness being able to give evidence or not.",280
"183","2.7 If a medical examination is required for the purposes of the criminal proceedings, these must be kept to a minimum and are subject to your consent.",151
"184","2.8 If you are a victim of sexual violence, gender-based violence or domestic abuse, you have the Right to request that the police officer conducting the interview is of a gender of your choice. The police must meet your request unless doing so would prejudice the fairness of the proceedings. If this happens, the police will tell you why.",340
"185","2.9 If you are considered vulnerable, for example under 18 years of age or intimidated (see Enhanced Rights), the police will ask you, or your parent/guardian, if you would like your police interview to be video recorded to make it easier for you to tell them what happened. This may be presented as your evidence in court. You may also be able to have your court cross examination evidence pre-recorded at a time earlier and separate to the trial. The police will discuss this option with you. If you do want to give your evidence at the trial, if eligible, a court may allow you to give your evidence and be cross-examined via a live-link room away from the court or a remote site, to minimise the risk of meeting the defendant. However, if you would prefer, you can give your evidence in court. Prosecutors should make witnesses aware that while they can consider how they might like to give evidence, it will be subject to an application to the court and the final decision is made by a judge.",997
"186","Right 3: To be provided with information when reporting the crime",65
"187","3.1 If you report a crime to the police or have an allegation reported on your behalf, or if you are contacted as a victim in the course of investigations, you have the Right to written confirmation of your allegation. This will include the basic details of the offence, a crime reference number and the contact details of the police officer dealing with your case. The confirmation could be a letter, email, text message, or it could be written by hand.",454
"188","3.2 Where the police consider there may be a risk of harm to you from sending the written confirmation, for example in domestic abuse cases, they must provide confirmation in a way that does not potentially risk your safety.",224
"189","3.3 The police will explain where you can get further information about the criminal justice process and your Rights as a victim. This will include information on where and how to get advice and support. For example, where appropriate and available, how to seek compensation (see Right 5) access to medical support, specialist support, such as psychological support (including pretrial therapy and counselling), and alternative accommodation. The police will also explain what arrangements are available if you do not live in England and Wales.",544
"190","If you are experiencing domestic abuse there are a number of organisations that can provide advice and support on how to access safe accommodation. The National Domestic Abuse Helpline is staffed 24 hours a day, every day of the year, by a dedicated team of experts and can be reached on: 0808 2000 247. The Samaritans is also staffed every day, 24 hours a day, and can be contacted on: 116 123. Alternatively, a range of other services including social services, General Practitioner’s, pharmacies, and the Citizens Advice Bureau can provide further information and signpost support in your area.",597
"191","Further information can be found at: www.gov.uk/report-domestic-abuse. Most domestic abuse support sites have quick exit options for those with limited time. If you are in immediate danger you should contact the police on: 999.",227
"192","3.4 If the offender is an adult, you have the Right to receive information about Restorative Justice from the police and how to access Restorative Justice services in your local area. If the offender is under the age of 18, you have the Right to receive information about Restorative Justice from the Youth Offending Team.[footnote 23]",335
"193","3.5 Although the police are responsible for providing you with information on Restorative Justice initially, all service providers must consider whether you would benefit from receiving this information at any stage of the criminal justice process.",248
"194","Restorative Justice is a process that brings those harmed by crime, and those responsible for the harm, into communication. It enables everyone affected by a particular incident to play a part in repairing the harm which can be valuable in finding a positive way forward. The communication may take many forms, for some this may mean meeting the offender face-to-face, for others, this could be communicating via letter, recorded interviews or videos. Whichever form of Restorative Justice is most suited to you, trained facilitators will prepare and support you throughout.",574
"195","Restorative Justice is voluntary for all parties and it must be agreed by all involved, including facilitators, that it is safe and appropriate to proceed. It will only happen if you and the offender, having acknowledged the basic facts of the case, both want to take part. You do not have to take part and you can withdraw at any time. You can ask to participate in Restorative Justice at a time that is right for you. You may be offered the opportunity to take part because the offender has been referred and it is assessed as safe.",534
"196","3.6 All information under this Right must be provided within 5 working days (1 working day under Enhanced Rights) of reporting the crime.",137
"197","Right 4: To be referred to services that support victims and have services and support tailored to your needs",109
"198","4.1 When you report a crime to the police, you have the Right to be offered support. This will include an assessment of whether you are entitled to receive the Enhanced Rights as set out on page 10 of this Code. The more information you are able to provide during this assessment will ensure that service providers are able to offer help and support that better meets your needs.",379
"199","4.2 Throughout your case, all service providers must give you the opportunity to be re-assessed if you tell them how your needs have changed.",141
"200","4.3 If you are required to attend court to give evidence, you will be offered a separate needs assessment by the Witness Care Unit to determine whether you require any further help and support before the trial and at the court.",227
"201","Referral to Services that support victims",41
"202","4.4 Services that support victims are there to help you cope and, as far as possible, recover after a crime. Access to support is free, even if the crime hasn’t been reported to the police. For further information about the support in your area, contact your local Police and Crime Commissioner[footnote 23] or visit: www.gov.uk/get-support-as-a-victim-of-crime",361
"203","4.5 If you report a crime to the police, you have the Right to be referred to a service that supports victims, including Restorative Justice services. The police will tell you about all the support services available in your local area. You will be referred to a support service within 2 working days, and these services will endeavour to provide timely access to support based on availability.",394
"204","4.6 If you choose not to report the crime to the police, you still have the Right to access support services at any time. You can contact local support services directly. To search for a support service near you, contact your local Police and Crime Commissioner[footnote 24] or visit: www.gov.uk/getsupport-as-a-victim-of-crime",327
"205","4.7 If you are a bereaved close relative, you have the Right to have a Family Liaison Officer assigned to you by the police, where the Senior Investigating Officer considers this to be appropriate (this will happen in most cases). Your Family Liaison Officer will normally act as the single point of contact between you and service providers. If your case involves an allegation of murder or manslaughter, you also have the Right to be referred to the National Homicide Service and any other relevant specialist support service. This offer will normally be made through your Family Liaison Officer.",598
"206","What is the National Homicide Service?",38
"207","The National Homicide Service is a free service that provides emotional, practical, specialist and peer support to families bereaved by murder or manslaughter, including after an act of terrorism.",196
"208","4.8 Depending on your needs and the nature of your case, you may be offered specialist support, for example from an Independent Sexual Violence Advisor or an Independent Domestic Violence Advisor. Your advisor will normally act as your single point of contact throughout the case and communicate with the police, Witness Care Unit and the Crown Prosecution Service on your behalf.",380
"209","What is the role of an Independent Sexual Violence Advisor or Independent Domestic Violence Advisor?",100
"210","An Independent Sexual Violence Advisor is an adviser who works with people who have experienced rape and sexual assault, irrespective of whether they have reported to the police.",178
"211","Independent Domestic Violence Advisors work with victims of domestic abuse to understand their experiences and their risk of ongoing harm. They will develop an individual safety plan with a victim to ensure they have everything they need to become safe and start to rebuild their lives free from abuse. This plan may include supporting victims to access statutory services (such as health care and housing services), representing their voice at a Multi-Agency Risk Assessment Conference and accessing other voluntary services in their communities. Independent Domestic Violence Advisors are independent of statutory services and are able to provide victims with relevant information and advice tailored to their needs.",718
"212","4.9 If you are required to give evidence in court, you have the Right to be offered a referral to a Witness Support Service (see Right 8).",138
"213","4.10 At the end of your case, regardless of the outcome, you have the Right to be offered a referral to a support service even if you haven’t accessed them previously. To search for a service that supports victims near you, contact your local Police and Crime Commissioner [footnote 25] or visit: www.gov.uk/get-support-as-a-victim-of-crime",340
"214","4.11 You have the Right to have your needs assessed by the police or Witness Care Unit to determine whether you are eligible and would benefit from giving evidence using special measures.[footnote 26] The police or Witness Care Unit will explain what special measures are available and will ask for your views about which you might like to apply for.",350
"215","Vulnerable or intimidated victims and witnesses can ask for special measures to be used during the trial to help them give their best evidence in court and help to relieve some of the stress associated with giving evidence. If eligible, a court will decide whether special measures should be granted.",300
"216","Common special measures include: having a screen/curtain around the witness box or giving evidence by live video-link, either from a separate room within the court or a dedicate live-link site outside the court building, so you do not have to face the defendant and court observers.",282
"217","Other special measures include:",31
"218","• giving evidence in private with no press or public allowed in the court room;",79
"219","• removing of wigs and gowns worn by the judge, and the defence and prosecution advocates in the Crown Court;",109
"220","• the use of communication aids or having the help of an intermediary to understand questions; or",97
"221","• providing evidence or being cross-examined through pre-recorded video, which means the witness does not need to give evidence at the trial (witnesses are not able to change their minds from pre-recorded to attending trial to give evidence).",242
"222","4.12 The judge or magistrate will decide whether special measures should be granted following a request from the prosecutor. The Witness Care Unit will tell you the judge’s or magistrates’ decision (see Right 8) and Her Majesty’s Courts and Tribunals Service court staff will ensure that any special measures granted are available for you at court.",348
"223","Right 5: To be provided with information about compensation",59
"224","5.1 If the defendant pleads or is found guilty, the judge or magistrate may order them to pay you compensation for any loss, damage or injury caused as a result of the crime. You have the Right to be told by the police how to seek compensation and you may be asked to provide evidence of any loss or damage, for example receipts or quotes for repairing the damage caused during the crime.",388
"225","Criminal Injuries Compensation Scheme",37
"226","5.2 If you have suffered a serious physical or mental injury as a direct result of a violent crime, you may be entitled to compensation through the Criminal Injuries Compensation Scheme (the Scheme).[footnote 27] The Scheme is for those injured in England,Wales and Scotland. You have the Right to be told by the police how to apply for compensation through the Scheme[footnote 28] (see Right 3).",396
"227","5.3 The Criminal Injuries Compensation Authority is responsible for administering the Scheme.",93
"228","5.4 Do not delay your application. You must apply as soon as reasonably practical. This should normally be within two years of the date of the incident. The Criminal Injuries Compensation Authority can only extend the time limits where there are exceptional circumstances.29 Different rules apply if you were aged under 18 years of age at the time of the incident. To be eligible for compensation, you will need to meet the wider eligibility criteria set out within the Scheme.",477
"229","5.5 You should not wait for the outcome of a criminal trial to apply. Your claim is not dependent on the conviction of an offender. However, the Criminal Injuries Compensation Authority may put your application on hold until you know the outcome of the trial, if they do not have sufficient information to be able to progress your claim.",337
"230","5.6 The Scheme is one of last resort. Where the opportunity exists to pursue compensation elsewhere, you should do so. An award under the Scheme will take account of other compensatory payments made to you, such as court ordered compensation or a civil personal injury award. The Criminal Injuries Compensation Authority may defer making a decision on a claim until you take reasonable steps to seek compensation through other routes available to you and await the outcome of those steps.",488
"231","5.7 Once you have applied, the Criminal Injuries Compensation Authority will confirm that your application has been received and respond to all written correspondence regarding your application within 20 working days of it being received.",238
"232","5.8 Having considered your application, you will be provided with information on the Right to review the Criminal Injuries Compensation Authority’s decision, including the procedure and time limits for reviewing that decision.",226
